<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;211209;000000;5775.0000000;5949.5000000;5755.0000000;5908.0000000;376811
MGNT;D;211210;000000;5915.0000000;5958.0000000;5770.5000000;5822.5000000;249378
MGNT;D;211213;000000;5823.0000000;5892.5000000;5600.0000000;5637.0000000;364303
MGNT;D;211214;000000;5637.0000000;5731.5000000;5264.5000000;5670.0000000;415271
MGNT;D;211215;000000;5688.5000000;5728.5000000;5580.0000000;5700.0000000;318723
MGNT;D;211216;000000;5700.0000000;5846.0000000;5683.5000000;5752.0000000;557711
MGNT;D;211217;000000;5759.5000000;5776.5000000;5611.5000000;5674.5000000;346340
MGNT;D;211220;000000;5657.5000000;5658.5000000;5492.5000000;5533.5000000;279999
MGNT;D;211221;000000;5559.5000000;5600.0000000;5483.0000000;5521.5000000;327690
MGNT;D;211222;000000;5541.5000000;5598.0000000;5501.5000000;5551.0000000;311777
MGNT;D;211223;000000;5551.5000000;5612.0000000;5505.0000000;5538.5000000;320871
MGNT;D;211224;000000;5543.5000000;5629.0000000;5505.0000000;5592.5000000;175935
MGNT;D;211227;000000;5612.5000000;5685.0000000;5600.0000000;5665.5000000;359711
MGNT;D;211228;000000;5670.0000000;5679.5000000;5602.0000000;5658.0000000;500337
MGNT;D;211229;000000;5401.0000000;5466.5000000;5378.0000000;5446.0000000;470799
MGNT;D;211230;000000;5445.0000000;5488.0000000;5409.0000000;5444.0000000;270527
MGNT;D;220103;000000;5461.5000000;5549.0000000;5440.5000000;5509.5000000;188883
MGNT;D;220104;000000;5509.5000000;5578.0000000;5493.5000000;5565.0000000;215745
MGNT;D;220105;000000;5570.0000000;5602.5000000;5370.0000000;5399.0000000;202620
MGNT;D;220106;000000;5390.0000000;5555.0000000;5360.0000000;5535.0000000;215082
MGNT;D;220110;000000;5538.0000000;5584.5000000;5424.0000000;5473.0000000;231465
MGNT;D;220111;000000;5475.0000000;5563.0000000;5460.0000000;5505.5000000;188782
MGNT;D;220112;000000;5529.0000000;5642.5000000;5480.0000000;5623.0000000;355621
MGNT;D;220113;000000;5609.0000000;5640.0000000;5250.0000000;5330.0000000;667823
MGNT;D;220114;000000;5353.5000000;5399.0000000;5106.0000000;5235.5000000;839771
MGNT;D;220117;000000;5235.0000000;5297.0000000;5141.5000000;5185.5000000;500397
MGNT;D;220118;000000;5206.0000000;5226.5000000;4770.0000000;4973.0000000;860969
MGNT;D;220119;000000;5000.0000000;5149.5000000;4791.5000000;5040.0000000;750621
MGNT;D;220120;000000;5042.5000000;5175.0000000;4982.0000000;4991.0000000;437643
MGNT;D;220121;000000;4980.0000000;5137.5000000;4921.5000000;5046.5000000;549929
MGNT;D;220124;000000;5060.0000000;5090.0000000;4667.0000000;4823.5000000;900705
MGNT;D;220125;000000;4823.5000000;4909.0000000;4651.0000000;4895.0000000;619959
MGNT;D;220126;000000;4897.0000000;4924.0000000;4733.0000000;4768.5000000;508943
MGNT;D;220127;000000;4736.0000000;4997.5000000;4714.5000000;4883.5000000;668361
MGNT;D;220128;000000;4890.0000000;4968.0000000;4816.5000000;4904.0000000;467413
MGNT;D;220131;000000;4931.0000000;5079.0000000;4921.5000000;5079.0000000;287546
MGNT;D;220201;000000;5079.0000000;5117.0000000;5012.0000000;5114.0000000;390602
MGNT;D;220202;000000;5115.0000000;5225.0000000;5106.0000000;5200.0000000;378878
MGNT;D;220203;000000;5200.0000000;5278.0000000;5125.0000000;5187.0000000;556896
MGNT;D;220204;000000;5195.0000000;5384.5000000;5176.0000000;5285.0000000;740012
MGNT;D;220207;000000;5300.5000000;5357.0000000;5153.0000000;5210.0000000;368050
MGNT;D;220208;000000;5216.5000000;5229.0000000;5164.5000000;5182.0000000;407416
MGNT;D;220209;000000;5194.0000000;5276.5000000;5182.5000000;5254.0000000;436568
MGNT;D;220210;000000;5265.0000000;5269.0000000;5197.0000000;5227.5000000;310998
MGNT;D;220211;000000;5220.0000000;5224.0000000;4925.5000000;4971.5000000;595991
MGNT;D;220214;000000;4964.5000000;5045.5000000;4770.0000000;4956.5000000;542386
MGNT;D;220215;000000;4975.0000000;5260.5000000;4971.5000000;5239.0000000;480608
MGNT;D;220216;000000;5260.0000000;5450.0000000;5191.0000000;5395.0000000;529553
MGNT;D;220217;000000;5395.0000000;5402.5000000;5187.0000000;5224.5000000;567731
